"Protein_Accession","InterPro_Accession","InterPro_Description","GO_Terms","source_file"
"Sequence1_orf13","IPR050411; IPR042098; IPR003819","Alpha-ketoglutarate-dependent hydroxylases; Taurine dioxygenase TauD-like superfamily; TauD/TfdA-like domain","GO:0016491(InterPro)","PSME_31428_interpro"
"Sequence1_orf25",NA,NA,NA,"PSME_31428_interpro"
"Sequence1_orf32",NA,NA,NA,"PSME_31428_interpro"
"Sequence1_orf15","IPR007867; IPR036188; IPR051871","Glucose-methanol-choline oxidoreductase, C-terminal; FAD/NAD(P)-binding domain superfamily; GMC Oxidoreductase-Related Enzymes","GO:0016614(InterPro)","PSME_31667_interpro"
"Sequence1_orf34",NA,NA,NA,"PSME_31667_interpro"
"Sequence1_orf10","IPR015660; IPR036638; IPR011598","Achaete-scute transcription factor-related; Helix-loop-helix DNA-binding domain superfamily; Myc-type, basic helix-loop-helix (bHLH) domain","GO:0000977(PANTHER)|GO:0000981(PANTHER)|GO:0003700(InterPro)|GO:0006357(PANTHER)|GO:0006357(InterPro)|GO:0090575(PANTHER); GO:0046983(InterPro)","PSME_37466_interpro"
"Sequence1_orf21",NA,NA,NA,"PSME_37466_interpro"
"Sequence1_orf9",NA,NA,NA,"PSME_37466_interpro"
"Sequence1_orf14",NA,NA,NA,"PSME_38415_interpro"
"Sequence1_orf15",NA,NA,NA,"PSME_38415_interpro"
"Sequence1_orf17",NA,NA,NA,"PSME_38415_interpro"
"Sequence1_orf4",NA,NA,NA,"PSME_38415_interpro"
"Sequence1_orf6","IPR006016; IPR006015; IPR014729","UspA; Universal stress protein A family; Rossmann-like alpha/beta/alpha sandwich fold",NA,"PSME_38415_interpro"
"Sequence1_orf26","IPR017441; IPR001245; IPR000719; IPR002902; IPR011009; IPR008271; IPR038408; IPR052059","Protein kinase, ATP binding site; Serine-threonine/tyrosine-protein kinase, catalytic domain; Protein kinase domain; Gnk2-homologous domain; Protein kinase-like domain superfamily; Serine/threonine-protein kinase, active site; Gnk2-homologous domain superfamily; Cysteine-rich Ser/Thr receptor-like kinase","GO:0005524(InterPro); GO:0004672(InterPro)|GO:0006468(InterPro); GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)","PSME_38503_interpro"
"Sequence1_orf31",NA,NA,NA,"PSME_38503_interpro"
"Sequence1_orf6",NA,NA,NA,"PSME_38503_interpro"
"Sequence1_orf14",NA,NA,NA,"PSME_39647_interpro"
"Sequence1_orf20","IPR002902; IPR008271; IPR000719; IPR038408; IPR052059; IPR011009","Gnk2-homologous domain; Serine/threonine-protein kinase, active site; Protein kinase domain; Gnk2-homologous domain superfamily; Cysteine-rich Ser/Thr receptor-like kinase; Protein kinase-like domain superfamily","GO:0004672(InterPro)|GO:0006468(InterPro); GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)","PSME_39647_interpro"
"Sequence1_orf21",NA,NA,NA,"PSME_39647_interpro"
"Sequence1_orf56",NA,NA,NA,"PSME_39647_interpro"
"Sequence1_orf10","IPR051897; IPR004873","Polygalacturonase-associated BURP domain-containing protein; BURP domain",NA,"PSME_40178_interpro"
"Sequence1_orf20",NA,NA,NA,"PSME_40178_interpro"
"Sequence1_orf23",NA,NA,NA,"PSME_40178_interpro"
"Sequence1_orf20",NA,NA,NA,"PSME_40947_interpro"
"Sequence1_orf4",NA,NA,NA,"PSME_40947_interpro"
"Sequence1_orf6","IPR013320; IPR008263; IPR044791; IPR000757","Concanavalin A-like lectin/glucanase domain superfamily; Glycoside hydrolase, family 16, active site; Beta-glucanase/XTH; Glycoside hydrolase family 16","GO:0004553(InterPro)|GO:0005975(InterPro); GO:0004553(InterPro)","PSME_40947_interpro"
"Sequence1_orf9",NA,NA,NA,"PSME_40947_interpro"
"Sequence1_orf45","IPR007855","RNA-dependent RNA polymerase, eukaryotic-type","GO:0003968(InterPro)|GO:0003968(PANTHER)|GO:0030422(PANTHER)|GO:0031380(PANTHER); GO:0003968(InterPro)","PSME_42174_interpro"
"Sequence1_orf3",NA,NA,NA,"PSME_47136_interpro"
"Sequence1_orf4","IPR000757; IPR013320; IPR010713; IPR044791","Glycoside hydrolase family 16; Concanavalin A-like lectin/glucanase domain superfamily; Xyloglucan endo-transglycosylase, C-terminal; Beta-glucanase/XTH","GO:0004553(InterPro)|GO:0005975(InterPro); GO:0005618(InterPro)|GO:0016762(InterPro)|GO:0044042(InterPro)|GO:0048046(InterPro); GO:0004553(InterPro)","PSME_47136_interpro"
"Sequence1_orf6",NA,NA,NA,"PSME_47136_interpro"
"Sequence1_orf8",NA,NA,NA,"PSME_47136_interpro"
"Sequence1_orf22","IPR005829; IPR050814; IPR005828; IPR036259; IPR003663; IPR020846","Sugar transporter, conserved site; Myo-inositol Transporter; Major facilitator, sugar transporter-like; MFS transporter superfamily; Sugar/inositol transporter; Major facilitator superfamily domain","GO:0016020(InterPro)|GO:0022857(InterPro)|GO:0055085(InterPro); GO:0016020(PANTHER)|GO:0022857(PANTHER)|GO:0055085(PANTHER); GO:0022857(InterPro)","PSME_48863_interpro"
"Sequence1_orf34",NA,NA,NA,"PSME_48863_interpro"
"Sequence1_orf52",NA,NA,NA,"PSME_48863_interpro"
"Sequence1_orf13",NA,NA,NA,"PSME_51302_interpro"
"Sequence1_orf14",NA,NA,NA,"PSME_51302_interpro"
"Sequence1_orf3",NA,NA,NA,"PSME_51302_interpro"
"Sequence1_orf5",NA,NA,NA,"PSME_51302_interpro"
"Sequence1_orf8","IPR014729; IPR006016; IPR006015","Rossmann-like alpha/beta/alpha sandwich fold; UspA; Universal stress protein A family",NA,"PSME_51302_interpro"
"Sequence1_orf12","IPR036188; IPR000172; IPR007867; IPR051871","FAD/NAD(P)-binding domain superfamily; Glucose-methanol-choline oxidoreductase, N-terminal; Glucose-methanol-choline oxidoreductase, C-terminal; GMC Oxidoreductase-Related Enzymes","GO:0016614(InterPro)|GO:0050660(InterPro); GO:0016614(InterPro)","PSME_51370_interpro"
